xs,containment_like,contraction_like,compromise_like,normal_prior,normal_post_containment,normal_post_contraction,normal_post_compromise,unif_prior,unif_post_containment,unif_post_contraction,unif_post_compromise
-3.65,0.0421439770272528,1.38918509942654e-16,0,0.0377262849566452,0.0229905344373371,3.49266508339646e-17,0,0.0972762645914397,0.0640268014728011,1.38918509942654e-16,0
-3.625,0.0423822346554201,3.26649425266782e-16,0,0.0385937922198554,0.0236521604098141,8.40140920270088e-17,0,0.0972762645914397,0.0643887719116181,3.26649425266782e-16,0
-3.6,0.0426207737215101,7.6043261516324e-16,0,0.0394750791504472,0.0243284168551656,2.00049067108195e-16,0,0.0972762645914397,0.06475116992209,7.60432615163239e-16,0
-3.575,0.042859583849166,1.75265577420378e-15,0,0.040370181881497,0.0250194734591219,4.71530858292173e-16,0,0.0972762645914397,0.0651139797400441,1.75265577420378e-15,0
-3.55,0.0430986545833748,3.99935149939876e-15,0,0.0412791308192958,0.0257254965821318,1.10020320330046e-15,0,0.0972762645914397,0.0654771854818098,3.99935149939876e-15,0
-3.525,0.0433379753910743,9.0352376126176e-15,0,0.0422019504942832,0.0264466490426129,2.541118321063e-15,0,0.0972762645914397,0.0658407711451414,9.0352376126176e-15,0
-3.5,0.0435775356617744,2.02090843341476e-14,0,0.0431386594132558,0.0271830898973198,5.80986533827035e-15,0,0.0972762645914397,0.0662047206101615,2.02090843341476e-14,0
-3.475,0.0438173247081911,4.47518248574103e-14,0,0.0440892699130188,0.0279349742189939,1.31491125284697e-14,0,0.0972762645914397,0.0665690176403242,4.47518248574103e-14,0
-3.45,0.0440573317668932,9.81142114278594e-14,0,0.0450537880156491,0.0287024528714581,2.94588652810582e-14,0,0.0972762645914397,0.0669336458833981,9.81142114278594e-14,0
-3.425,0.0442975459989635,2.12965934890114e-13,0,0.0460322132855462,0.0294856722823399,6.53318239844645e-14,0,0.0972762645914397,0.06729858887247,2.12965934890114e-13,0
-3.4,0.0445379564906711,4.57662596072074e-13,0,0.0470245386884435,0.0302847742136022,1.43424303318924e-13,0,0.0972762645914397,0.0676638300269673,4.57662596072074e-13,0
-3.375,0.0447785522541586,9.73728213211604e-13,0,0.0480307504525567,0.031099895530077,3.11680700521158e-13,0,0.0972762645914397,0.0680293526537012,9.73728213211604e-13,0
-3.35,0.0450193222281413,2.0511014547188e-12,0,0.049050827932049,0.0319311679662037,6.70480683371248e-13,0,0.0972762645914397,0.0683951399479291,2.0511014547188e-12,0
